source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:BP	GO:0000075	cell cycle checkpoint signaling	0.007510780819027795	True	"""A signaling process that controls cell cycle progression by monitoring the integrity of specific cell cycle events. A cell cycle checkpoint begins with detection of deficiencies or defects and ends with signal transduction."" [GOC:mtg_cell_cycle]"	185	883	23	21026	0.026047565118912798	0.12432432432432433	query_1	['GO:0035556', 'GO:1901988']
REAC	REAC:R-HSA-2467813	Separation of Sister Chromatids	0.007854895154874256	True	Separation of Sister Chromatids	188	502	23	11004	0.045816733067729085	0.12234042553191489	query_1	['REAC:R-HSA-68882']
GO:BP	GO:0051649	establishment of localization in cell	0.010417918698966883	True	"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	2010	883	125	21026	0.14156285390713477	0.06218905472636816	query_1	['GO:0051234', 'GO:0051641']
GO:BP	GO:1901987	regulation of cell cycle phase transition	0.01124622399986303	True	"""Any process that modulates the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	427	883	39	21026	0.044167610419026046	0.09133489461358314	query_1	['GO:0010564', 'GO:0044770']
GO:BP	GO:0090068	positive regulation of cell cycle process	0.013693416670562014	True	"""Any process that increases the rate, frequency or extent of a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	262	883	28	21026	0.031710079275198186	0.10687022900763359	query_1	['GO:0010564', 'GO:0022402', 'GO:0045787']
GO:BP	GO:0000910	cytokinesis	0.014110147040831111	True	"""The division of the cytoplasm and the plasma membrane of a cell and its partitioning into two daughter cells."" [GOC:mtg_cell_cycle]"	192	883	23	21026	0.026047565118912798	0.11979166666666667	query_1	['GO:0022402', 'GO:0051301']
GO:BP	GO:0090232	positive regulation of spindle checkpoint	0.0163209838518278	True	"""Any process that increases the rate, frequency, or extent of the spindle checkpoint, a cell cycle checkpoint that delays the metaphase/anaphase transition until the spindle is correctly assembled and oriented, and chromosomes are attached to the spindle."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	13	883	6	21026	0.006795016987542469	0.46153846153846156	query_1	['GO:0031577', 'GO:0090231', 'GO:1901978']
GO:BP	GO:1902749	regulation of cell cycle G2/M phase transition	0.01990062755341987	True	"""Any signaling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the cell cycle."" [GO_REF:0000058, GOC:jl, GOC:TermGenie]"	118	883	17	21026	0.01925254813137033	0.1440677966101695	query_1	['GO:0044839', 'GO:1901987']
REAC	REAC:R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	0.020572034379161486	True	COPI-dependent Golgi-to-ER retrograde traffic	99	502	15	11004	0.029880478087649404	0.15151515151515152	query_1	['REAC:R-HSA-8856688']
REAC	REAC:R-HSA-1640170	Cell Cycle	0.021279951337768208	True	Cell Cycle	679	502	54	11004	0.10756972111553785	0.07952871870397643	query_1	['REAC:0000000']
GO:BP	GO:0051231	spindle elongation	0.027545648084660937	True	"""The cell cycle process in which the distance is lengthened between poles of the spindle."" [GOC:ai]"	14	883	6	21026	0.006795016987542469	0.42857142857142855	query_1	['GO:0007017', 'GO:0007051', 'GO:0022402', 'GO:0098813']
GO:BP	GO:2001251	negative regulation of chromosome organization	0.027899158633374537	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of chromosome organization."" [GOC:obol]"	97	883	15	21026	0.01698754246885617	0.15463917525773196	query_1	['GO:0010639', 'GO:0033044', 'GO:0051276']
REAC	REAC:R-HSA-195258	RHO GTPase Effectors	0.02811010140666214	True	RHO GTPase Effectors	318	502	31	11004	0.061752988047808766	0.09748427672955975	query_1	['REAC:R-HSA-194315']
GO:BP	GO:0007018	microtubule-based movement	0.029748184093292992	True	"""A microtubule-based process that results in the movement of organelles, other microtubules, or other cellular components. Examples include motor-driven movement along microtubules and movement driven by polymerization or depolymerization of microtubules."" [GOC:cjm, ISBN:0815316194]"	478	883	41	21026	0.0464326160815402	0.08577405857740586	query_1	['GO:0007017']
KEGG	KEGG:04110	Cell cycle	0.031763867625724904	True	Cell cycle	157	387	18	8484	0.046511627906976744	0.11464968152866242	query_1	['KEGG:00000']
GO:BP	GO:0090307	mitotic spindle assembly	0.034572263595626256	True	"""Mitotic bipolar spindle assembly begins with spindle microtubule nucleation from the separated spindle pole body, includes spindle elongation during prometaphase, and is complete when all kinetochores are stably attached the spindle, and the spindle assembly checkpoint is satisfied."" [GOC:tb, GOC:vw]"	76	883	13	21026	0.014722536806342015	0.17105263157894737	query_1	['GO:0000070', 'GO:0007052', 'GO:0051225']
GO:BP	GO:0007095	mitotic G2 DNA damage checkpoint signaling	0.038168835872338054	True	"""A mitotic cell cycle checkpoint that detects and negatively regulates progression through the G2/M transition of the cell cycle in response to DNA damage."" [GOC:mtg_cell_cycle, PMID:16299494]"	37	883	9	21026	0.010192525481313703	0.24324324324324326	query_1	['GO:0044773', 'GO:0044818']
GO:BP	GO:1901988	negative regulation of cell cycle phase transition	0.040871457557641905	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	248	883	26	21026	0.02944507361268403	0.10483870967741936	query_1	['GO:0010948', 'GO:0044770', 'GO:1901987']
